,Производитель,Модель,Ширина,Профиль,"Диаметр, R",Индекс скорости,Индекс нагрузки,Цена,Производитель_числ,Индекс скорости_числ
3742,Pirelli,P7 Cinturato Run Flat,225.0,50.0,18.0,W,95.0,21180.0,29.0,6.0
3743,Pirelli,P7 Cinturato Run Flat,225.0,60.0,17.0,V,99.0,22280.0,29.0,2.0
3744,Pirelli,P7 Cinturato Run Flat,275.0,45.0,18.0,W,103.0,31590.0,29.0,6.0
3745,Michelin,Pilot Super Sport,255.0,40.0,18.0,Y,95.0,26340.0,19.0,3.0
3746,Continental,Conti Sport Contact 5,245.0,45.0,17.0,W,95.0,13850.0,8.0,6.0
3747,Continental,Conti Sport Contact 5,245.0,40.0,17.0,W,91.0,15290.0,8.0,6.0
3748,Continental,Conti Sport Contact 5,255.0,35.0,18.0,Y,94.0,15540.0,8.0,3.0
3749,Continental,Conti Sport Contact 5,225.0,45.0,17.0,W,91.0,13600.0,8.0,6.0
3750,Continental,Conti Sport Contact 5,245.0,40.0,18.0,Y,97.0,14990.0,8.0,3.0
3751,Hankook,Ventus Prime 2 K115,195.0,55.0,16.0,V,87.0,9170.0,6.0,2.0
3752,Continental,Cross Contact LX Sport,255.0,55.0,18.0,V,109.0,15130.0,8.0,2.0
3753,Pirelli,Scorpion Verde,235.0,55.0,19.0,V,105.0,19890.0,29.0,2.0
3754,Pirelli,Scorpion Verde,225.0,45.0,19.0,W,96.0,16750.0,29.0,6.0
3755,Cordiant,Road Runner,205.0,65.0,15.0,H,94.0,4470.0,0.0,0.0
3756,Hankook,Optimo ME02 K424,195.0,60.0,15.0,H,88.0,6110.0,6.0,0.0
3757,Hankook,Optimo ME02 K424,225.0,60.0,15.0,H,96.0,11880.0,6.0,0.0
3758,Hankook,Optimo ME02 K424,215.0,65.0,15.0,H,96.0,10950.0,6.0,0.0
3759,Cordiant,Comfort 2 SUV,265.0,60.0,18.0,H,114.0,10870.0,0.0,0.0
3760,Bridgestone,Ecopia EP300,185.0,60.0,15.0,V,84.0,6530.0,16.0,2.0
3761,Bridgestone,TURANZA T005A,195.0,60.0,16.0,H,89.0,10780.0,16.0,0.0
3762,Bridgestone,TURANZA T005,215.0,60.0,16.0,H,99.0,12410.0,16.0,0.0
3763,Bridgestone,TURANZA T005,225.0,60.0,16.0,W,102.0,18040.0,16.0,6.0
3764,Bridgestone,Dueler AT 001,235.0,85.0,16.0,R,114.0,14870.0,16.0,8.0
3765,Bridgestone,TURANZA T005 Run Flat,225.0,45.0,17.0,Y,94.0,17510.0,16.0,3.0
3766,Bridgestone,TURANZA T005 Run Flat,225.0,40.0,18.0,Y,92.0,15040.0,16.0,3.0
3767,Bridgestone,TURANZA T005 Run Flat,225.0,45.0,18.0,Y,95.0,22480.0,16.0,3.0
3768,Bridgestone,Potenza Adrenalin RE004,235.0,40.0,18.0,W,95.0,14450.0,16.0,6.0
3769,Bridgestone,Potenza Adrenalin RE004,245.0,40.0,18.0,W,97.0,15480.0,16.0,6.0
3770,Bridgestone,Potenza Adrenalin RE004,245.0,45.0,18.0,W,100.0,16520.0,16.0,6.0
3771,Bridgestone,TURANZA T005 Run Flat,245.0,45.0,18.0,Y,100.0,21650.0,16.0,3.0
3772,Bridgestone,Potenza Adrenalin RE004,265.0,35.0,18.0,W,97.0,20850.0,16.0,6.0
3773,Bridgestone,Alenza AS,275.0,50.0,19.0,V,112.0,22960.0,16.0,2.0
3774,Bridgestone,Dueler HL 33A,235.0,55.0,20.0,V,102.0,24730.0,16.0,2.0
3775,Bridgestone,Dueler HP Sport Run Flat,265.0,45.0,20.0,Y,104.0,34370.0,16.0,3.0
3776,Bridgestone,Alenza 001 Run Flat,275.0,50.0,20.0,W,113.0,33080.0,16.0,6.0
3777,Bridgestone,Alenza 001,315.0,35.0,20.0,Y,110.0,33700.0,16.0,3.0
3778,Bridgestone,Alenza 001,295.0,35.0,21.0,Y,107.0,32190.0,16.0,3.0
3779,Hankook,Kinergy Eco 2 K435,175.0,65.0,14.0,H,82.0,6780.0,6.0,0.0
3780,Hankook,Kinergy Eco 2 K435,185.0,70.0,14.0,H,88.0,7930.0,6.0,0.0
3781,Hankook,Kinergy Eco 2 K435,195.0,60.0,14.0,H,86.0,8560.0,6.0,0.0
3782,Hankook,Kinergy Eco 2 K435,185.0,55.0,15.0,H,82.0,5910.0,6.0,0.0
3783,Hankook,Kinergy Eco 2 K435,205.0,60.0,15.0,H,91.0,6250.0,6.0,0.0
3784,Hankook,Kinergy Eco 2 K435,205.0,65.0,15.0,V,94.0,8200.0,6.0,2.0
3785,Hankook,Kinergy Eco 2 K435,215.0,65.0,15.0,H,96.0,7950.0,6.0,0.0
3786,Hankook,Ventus Prime 3 K125,235.0,55.0,18.0,H,100.0,16900.0,6.0,0.0
3787,Hankook,Ventus S1 evo3 K127,255.0,40.0,18.0,Y,99.0,16870.0,6.0,3.0
3788,BFGoodrich,Advantage,245.0,45.0,18.0,Y,100.0,12210.0,17.0,3.0
3789,Michelin,Primacy 4+,245.0,45.0,18.0,W,100.0,17700.0,19.0,6.0
3790,Michelin,Crossclimate 2,245.0,40.0,18.0,Y,97.0,20240.0,19.0,3.0
3791,Michelin,Crossclimate 2,225.0,60.0,16.0,W,102.0,17990.0,19.0,6.0
3792,Nokian,Tyres Nordman SX3,195.0,55.0,15.0,H,89.0,5500.0,23.0,0.0
3793,Evergreen,ES89,31.0,10.5,15.0,R,109.0,13110.0,18.0,8.0
3794,Evergreen,DYNAWILD ES91 M/T,265.0,75.0,16.0,Q,119.0,14280.0,18.0,9.0
3795,Dunlop,SP Sport LM705W,195.0,50.0,15.0,V,82.0,6430.0,14.0,2.0
3796,Dunlop,SP Sport LM705W,215.0,60.0,17.0,H,96.0,11810.0,14.0,0.0
3797,Dunlop,SP Sport LM705W,245.0,40.0,18.0,W,97.0,14150.0,14.0,6.0
3798,BFGoodrich,Mud Terrain T/A KM3,285.0,75.0,16.0,Q,116.0,31670.0,17.0,9.0
3799,Michelin,Latitude Tour HP,255.0,55.0,18.0,V,109.0,15370.0,19.0,2.0
3800,Michelin,Latitude Tour HP,265.0,45.0,21.0,W,104.0,43320.0,19.0,6.0
3801,Pirelli,PZero Run Flat,245.0,40.0,19.0,Y,94.0,32860.0,29.0,3.0
3802,Pirelli,PZero Run Flat,275.0,35.0,20.0,Y,102.0,34360.0,29.0,3.0
3803,Pirelli,PZero Run Flat,245.0,40.0,20.0,Y,99.0,31550.0,29.0,3.0
3804,Pirelli,PZero Run Flat,225.0,40.0,18.0,W,92.0,15990.0,29.0,6.0
3805,Goodyear,Efficient Grip,235.0,50.0,17.0,W,96.0,13750.0,10.0,6.0
3806,Bridgestone,TURANZA T005,225.0,50.0,17.0,W,98.0,13950.0,16.0,6.0
3807,Bridgestone,TURANZA T005,245.0,40.0,17.0,Y,95.0,15560.0,16.0,3.0
3808,Bridgestone,TURANZA T005,265.0,35.0,18.0,Y,97.0,21280.0,16.0,3.0
3809,Bridgestone,Dueler MT 674,235.0,75.0,15.0,Q,104.0,17580.0,16.0,9.0
3810,Goodyear,Eagle F1 Supersport,245.0,40.0,18.0,Y,97.0,14930.0,10.0,3.0
3811,BFGoodrich,All Terrain KO2 LRD,275.0,55.0,20.0,S,115.0,36960.0,17.0,7.0
3812,Bridgestone,POTENZA S007A,295.0,35.0,20.0,Y,105.0,34060.0,16.0,3.0
3813,Cordiant,All Terrain,235.0,75.0,15.0,S,109.0,7650.0,0.0,7.0
3814,Continental,Conti Sport Contact 5P,245.0,40.0,20.0,Y,99.0,23800.0,8.0,3.0
3815,Pirelli,Scorpion Verde All season,275.0,50.0,19.0,V,112.0,34920.0,29.0,2.0
3816,Pirelli,Scorpion Verde All season,255.0,55.0,19.0,V,111.0,30690.0,29.0,2.0
3817,Pirelli,Scorpion Verde All season,245.0,45.0,20.0,V,103.0,33250.0,29.0,2.0
3818,Pirelli,Scorpion Verde All season,235.0,50.0,18.0,V,97.0,17490.0,29.0,2.0
3819,Pirelli,Scorpion Verde All season,235.0,55.0,19.0,V,105.0,26070.0,29.0,2.0
3820,Pirelli,Scorpion Verde All season,265.0,50.0,20.0,V,107.0,27480.0,29.0,2.0
3821,Bridgestone,Ecopia EP850,235.0,50.0,18.0,V,97.0,15140.0,16.0,2.0
3822,Goodyear,Eagle F1 Asymmetric SUV,265.0,50.0,19.0,Y,110.0,18570.0,10.0,3.0
3823,Goodyear,Eagle F1 Asymmetric SUV,255.0,55.0,18.0,Y,109.0,13410.0,10.0,3.0
3824,Hankook,Ventus S1 evo 2 K117,235.0,40.0,18.0,Y,95.0,15870.0,6.0,3.0
3825,Hankook,Ventus S1 evo 2 K117,275.0,40.0,18.0,Y,103.0,27160.0,6.0,3.0
3826,Hankook,Ventus S1 evo 2 K117,255.0,40.0,17.0,Y,98.0,18350.0,6.0,3.0
3827,Hankook,Ventus S1 evo 2 K117,255.0,45.0,19.0,Y,104.0,26390.0,6.0,3.0
3828,Hankook,Ventus S1 evo 2 K117,265.0,35.0,18.0,Y,97.0,23630.0,6.0,3.0
3829,Hankook,Ventus S1 evo 2 K117,245.0,40.0,19.0,Y,98.0,21500.0,6.0,3.0
3830,Hankook,Ventus S1 evo 2 K117,255.0,40.0,19.0,Y,100.0,24320.0,6.0,3.0
3831,Hankook,Ventus S1 evo 2 K117,225.0,55.0,17.0,W,97.0,14730.0,6.0,6.0
3832,Matador,MP82 Conquerra 2,215.0,65.0,16.0,H,98.0,7020.0,5.0,0.0
3833,Matador,MP82 Conquerra 2,225.0,65.0,17.0,H,102.0,7890.0,5.0,0.0
3834,Hankook,Dynapro MT RT03,315.0,75.0,16.0,Q,127.0,37550.0,6.0,9.0
3835,Hankook,Ventus S1 evo 2 SUV K117A,265.0,40.0,21.0,Y,105.0,32190.0,6.0,3.0
3836,Triangle,TR968,225.0,40.0,18.0,V,92.0,6450.0,36.0,2.0
3837,Pirelli,Cinturato P1 Verde,175.0,65.0,15.0,H,84.0,4640.0,29.0,0.0
3838,Pirelli,Cinturato P1 Verde,185.0,55.0,16.0,H,87.0,7400.0,29.0,0.0
3839,Hankook,Dynapro AT2 RF11,30.0,9.5,15.0,S,104.0,17680.0,6.0,7.0
3840,Hankook,Ventus S1 evo3 K127,295.0,30.0,20.0,Y,101.0,25820.0,6.0,3.0
3841,Hankook,Dynapro AT2 RF11,265.0,75.0,16.0,T,116.0,18980.0,6.0,5.0
3842,Matador,MPS330 Maxilla 2,195.0,75.0,16.0,R,107.0,8340.0,5.0,8.0
3843,Bridgestone,Dueler AT 001,245.0,70.0,16.0,S,111.0,13060.0,16.0,7.0
3844,Bridgestone,Dueler AT 001,265.0,70.0,16.0,S,112.0,13590.0,16.0,7.0
3845,Bridgestone,Dueler AT 001,225.0,70.0,16.0,S,103.0,11680.0,16.0,7.0
3846,Bridgestone,Dueler AT 001,275.0,65.0,17.0,T,115.0,17220.0,16.0,5.0
3847,Bridgestone,Ecopia EP300,245.0,45.0,18.0,V,96.0,15080.0,16.0,2.0
3848,Bridgestone,Ecopia EP300,215.0,50.0,17.0,V,91.0,9740.0,16.0,2.0
3849,Bridgestone,Ecopia EP300,215.0,55.0,17.0,V,94.0,9350.0,16.0,2.0
3850,Dunlop,SP Sport Maxx 050,225.0,55.0,17.0,V,97.0,11400.0,14.0,2.0
3851,Dunlop,SP Sport Maxx 050+ SUV,275.0,40.0,20.0,Y,106.0,23650.0,14.0,3.0
3852,Dunlop,SP Sport Maxx 050+ SUV,265.0,50.0,19.0,Y,110.0,16170.0,14.0,3.0
3853,Pirelli,P-Zero Sports CAR,285.0,45.0,20.0,W,108.0,45360.0,29.0,6.0
3854,Pirelli,P-Zero Sports CAR,295.0,40.0,19.0,Y,108.0,37730.0,29.0,3.0
3855,Pirelli,P-Zero Sports CAR,255.0,50.0,19.0,W,107.0,24510.0,29.0,6.0
3856,Pirelli,P-Zero Sports CAR,255.0,55.0,19.0,W,107.0,21200.0,29.0,6.0
3857,Pirelli,P-Zero Sports CAR,275.0,40.0,19.0,Y,105.0,31250.0,29.0,3.0
3858,Viatti,Bosco (V-238),235.0,55.0,17.0,V,99.0,6560.0,20.0,2.0
3859,Bridgestone,Dueler AT 001,245.0,75.0,16.0,S,108.0,13590.0,16.0,7.0
3860,Bridgestone,Dueler AT 001,245.0,65.0,17.0,T,111.0,13120.0,16.0,5.0
3861,Bridgestone,Alenza 001,295.0,45.0,20.0,W,114.0,33700.0,16.0,6.0
3862,Goodyear,Eagle Sport TZ,225.0,50.0,17.0,W,94.0,8660.0,10.0,6.0
3863,Pirelli,P-Zero Luxury Saloon,245.0,50.0,19.0,W,105.0,28800.0,29.0,6.0
3864,Goodyear,Eagle Sport TZ,215.0,45.0,17.0,W,91.0,7860.0,10.0,6.0
3865,Triangle,TH201,275.0,40.0,19.0,Y,105.0,9620.0,36.0,3.0
3866,Dunlop,Direzza DZ102,225.0,40.0,18.0,W,92.0,10250.0,14.0,6.0
3867,Continental,Conti Premium Contact 5 ContiSeal,215.0,55.0,17.0,V,94.0,15640.0,8.0,2.0
3868,Continental,Conti Sport Contact 5 ContiSeal,235.0,45.0,17.0,W,94.0,12240.0,8.0,6.0
3869,Continental,Conti Sport Contact 5 Run Flat,225.0,45.0,17.0,W,91.0,25350.0,8.0,6.0
3870,Continental,Conti Sport Contact 5 Run Flat,225.0,50.0,17.0,W,94.0,15890.0,8.0,6.0
3871,Continental,Premium Contact 6 Run Flat,245.0,40.0,20.0,Y,99.0,26570.0,8.0,3.0
3872,Bridgestone,Alenza 001,275.0,50.0,20.0,W,109.0,31590.0,16.0,6.0
3873,Bridgestone,Alenza 001,285.0,45.0,22.0,H,110.0,35800.0,16.0,0.0
3874,Bridgestone,Alenza 001,285.0,45.0,19.0,W,111.0,24010.0,16.0,6.0
3875,Bridgestone,Alenza 001,265.0,45.0,21.0,W,104.0,31960.0,16.0,6.0
3876,Bridgestone,Dueler AT 001,255.0,60.0,18.0,S,112.0,18580.0,16.0,7.0
3877,Bridgestone,Dueler AT 001,225.0,75.0,16.0,S,104.0,14870.0,16.0,7.0
3878,Bridgestone,Alenza 001,235.0,50.0,19.0,V,99.0,17380.0,16.0,2.0
3879,Laufenn,X FIT HT LD01 SUV,265.0,65.0,17.0,T,112.0,15400.0,11.0,5.0
3880,Laufenn,X FIT HT LD01 SUV,225.0,70.0,15.0,T,100.0,10710.0,11.0,5.0
3881,Laufenn,X FIT HT LD01 SUV,235.0,65.0,17.0,T,104.0,9140.0,11.0,5.0
3882,Laufenn,X FIT VAN LV01,225.0,65.0,16.0,R,112.0,14730.0,11.0,8.0
3883,Dunlop,SP Sport Maxx 050+,255.0,35.0,18.0,Y,94.0,14810.0,14.0,3.0
3884,Dunlop,SP Sport Maxx 050+,235.0,40.0,18.0,Y,95.0,12040.0,14.0,3.0
3885,Dunlop,SP Sport Maxx 050+,225.0,40.0,18.0,Y,92.0,11160.0,14.0,3.0
3886,Dunlop,SP Sport Maxx 050+,215.0,45.0,17.0,Y,91.0,9800.0,14.0,3.0
3887,Dunlop,SP Sport Maxx 050+,235.0,45.0,17.0,Y,97.0,10090.0,14.0,3.0
3888,Dunlop,SP Sport Maxx 050+,245.0,40.0,19.0,Y,98.0,16710.0,14.0,3.0
3889,Dunlop,SP Sport Maxx 050+,215.0,50.0,17.0,W,95.0,9520.0,14.0,6.0
3890,Dunlop,SP Sport Maxx 050+,245.0,40.0,18.0,Y,97.0,15210.0,14.0,3.0
3891,Continental,Conti Van Contact 100,225.0,75.0,16.0,R,118.0,21330.0,8.0,8.0
3892,Pirelli,P-Zero Luxury Saloon Run Flat,315.0,35.0,20.0,W,110.0,49130.0,29.0,6.0
3893,Pirelli,P-Zero Sports CAR,245.0,45.0,18.0,Y,100.0,20320.0,29.0,3.0
3894,Triangle,TH201,275.0,40.0,19.0,Y,105.0,9620.0,36.0,3.0
3895,Dunlop,Direzza DZ102,225.0,40.0,18.0,W,92.0,10250.0,14.0,6.0
3896,Dunlop,Direzza DZ102,245.0,40.0,19.0,W,94.0,15250.0,14.0,6.0
3897,Dunlop,Direzza DZ102,225.0,45.0,17.0,W,94.0,9640.0,14.0,6.0
3898,Dunlop,Direzza DZ102,235.0,35.0,19.0,W,91.0,14400.0,14.0,6.0
3899,Pirelli,P7 Cinturato Seal-Inside,225.0,45.0,18.0,W,95.0,18240.0,29.0,6.0
3900,Pirelli,P-Zero Luxury Saloon Run Flat,305.0,40.0,20.0,Y,112.0,48770.0,29.0,3.0
3901,Cordiant,Comfort 2 SUV,235.0,65.0,17.0,H,108.0,7950.0,0.0,0.0
3902,Cordiant,Comfort 2 SUV,255.0,55.0,18.0,H,109.0,9940.0,0.0,0.0
3903,Laufenn,X FIT HT LD01 SUV,265.0,65.0,17.0,T,112.0,15400.0,11.0,5.0
3904,Laufenn,X FIT HT LD01 SUV,225.0,70.0,15.0,T,100.0,10710.0,11.0,5.0
3905,Laufenn,X FIT HT LD01 SUV,235.0,65.0,17.0,T,104.0,9140.0,11.0,5.0
3906,Laufenn,X FIT VAN LV01,225.0,65.0,16.0,R,112.0,14730.0,11.0,8.0
3907,Hankook,Ventus V12 evo 2 K120,255.0,40.0,18.0,Y,99.0,23270.0,6.0,3.0
3908,Hankook,Ventus V12 evo 2 K120,255.0,40.0,19.0,Y,100.0,24320.0,6.0,3.0
3909,Hankook,Ventus S1 evo 2 K117,205.0,55.0,17.0,W,95.0,14030.0,6.0,6.0
3910,Triangle,TR257,245.0,65.0,17.0,T,111.0,9500.0,36.0,5.0
3911,Bridgestone,Dueler HP Sport Run Flat,315.0,35.0,20.0,Y,110.0,42960.0,16.0,3.0
3912,Bridgestone,Dueler HP Sport Run Flat,225.0,50.0,17.0,H,94.0,17510.0,16.0,0.0
3913,Hankook,Ventus S1 evo 2 SUV K117A,255.0,50.0,19.0,Y,107.0,22770.0,6.0,3.0
3914,Hankook,Ventus V12 evo 2 K120,255.0,35.0,18.0,Y,94.0,20120.0,6.0,3.0
3915,Hankook,Ventus S1 evo 2 SUV K117A,275.0,50.0,20.0,W,109.0,30380.0,6.0,6.0
3916,Michelin,Latitude Sport 3,275.0,45.0,19.0,Y,108.0,27230.0,19.0,3.0
3917,Hankook,Ventus S1 evo 2 SUV K117A,295.0,35.0,21.0,Y,107.0,32060.0,6.0,3.0
3918,Hankook,Ventus S1 evo 2 SUV K117A,295.0,35.0,22.0,Y,108.0,40520.0,6.0,3.0
3919,Hankook,Ventus S1 evo 2 SUV K117A,275.0,45.0,20.0,Y,110.0,28320.0,6.0,3.0
3920,Hankook,Ventus S1 evo 2 SUV K117A,265.0,45.0,20.0,Y,108.0,29890.0,6.0,3.0
3921,Bridgestone,Turanza ER30,245.0,50.0,18.0,W,100.0,21480.0,16.0,6.0
3922,Goodyear,Excellence,275.0,40.0,20.0,Y,106.0,16880.0,10.0,3.0
3923,Goodyear,Wrangler HP All Weather,255.0,60.0,18.0,H,112.0,16660.0,10.0,0.0
3924,Dunlop,SP Sport Maxx,235.0,45.0,17.0,Y,97.0,9550.0,14.0,3.0
3925,Continental,Conti Sport Contact 3,245.0,40.0,18.0,Y,97.0,14990.0,8.0,3.0
3926,Pirelli,Scorpion Zero,255.0,60.0,18.0,V,112.0,15840.0,29.0,2.0
3927,Pirelli,P-Zero Luxury Saloon Run Flat,315.0,35.0,20.0,W,110.0,49130.0,29.0,6.0
3928,Pirelli,P-Zero Sports CAR,245.0,45.0,18.0,Y,100.0,20320.0,29.0,3.0
3929,Pirelli,P7 Cinturato Run Flat,205.0,55.0,16.0,W,91.0,12330.0,29.0,6.0
3930,Pirelli,P7 Cinturato Run Flat,225.0,50.0,17.0,W,94.0,17960.0,29.0,6.0
3931,Pirelli,P7 Cinturato Run Flat,225.0,55.0,17.0,W,97.0,21620.0,29.0,6.0
3932,Pirelli,P7 Cinturato Run Flat,225.0,50.0,18.0,W,95.0,21180.0,29.0,6.0
3933,Pirelli,P7 Cinturato Run Flat,225.0,60.0,17.0,V,99.0,22280.0,29.0,2.0
3934,Pirelli,P7 Cinturato Run Flat,275.0,45.0,18.0,W,103.0,31590.0,29.0,6.0
3935,Pirelli,P7 Cinturato Run Flat,225.0,55.0,17.0,Y,97.0,21370.0,29.0,3.0
3936,Hankook,Ventus S1 evo 2 K117,235.0,40.0,18.0,Y,95.0,15870.0,6.0,3.0
3937,Hankook,Ventus S1 evo 2 K117,275.0,40.0,18.0,Y,103.0,27160.0,6.0,3.0
3938,Hankook,Ventus S1 evo 2 K117,255.0,40.0,17.0,Y,98.0,18350.0,6.0,3.0
3939,Hankook,Ventus S1 evo 2 K117,255.0,45.0,19.0,Y,104.0,26390.0,6.0,3.0
3940,Hankook,Ventus S1 evo 2 K117,265.0,35.0,18.0,Y,97.0,23630.0,6.0,3.0
3941,Hankook,Ventus S1 evo 2 K117,245.0,40.0,19.0,Y,98.0,21500.0,6.0,3.0
3942,Hankook,Ventus S1 evo 2 K117,255.0,40.0,19.0,Y,100.0,24320.0,6.0,3.0
3943,Hankook,Ventus S1 evo 2 K117,225.0,55.0,17.0,W,97.0,14730.0,6.0,6.0
3944,Matador,MP82 Conquerra 2,215.0,65.0,16.0,H,98.0,7020.0,5.0,0.0
3945,Matador,MP82 Conquerra 2,225.0,65.0,17.0,H,102.0,7890.0,5.0,0.0
3946,Hankook,Dynapro MT RT03,315.0,75.0,16.0,Q,127.0,37550.0,6.0,9.0
3947,Hankook,Ventus S1 evo 2 SUV K117A,265.0,40.0,21.0,Y,105.0,32190.0,6.0,3.0
3948,Hankook,Ventus V12 evo 2 K120,255.0,45.0,19.0,Y,104.0,26390.0,6.0,3.0
3949,Hankook,Ventus V12 evo 2 K120,225.0,45.0,19.0,Y,96.0,20660.0,6.0,3.0
3950,Hankook,Ventus V12 evo 2 K120,275.0,40.0,18.0,Y,103.0,27160.0,6.0,3.0
3951,Michelin,Latitude Sport 3,255.0,60.0,17.0,V,106.0,16750.0,19.0,2.0
3952,Hankook,Ventus V12 evo 2 K120,255.0,35.0,19.0,Y,96.0,24050.0,6.0,3.0
3953,Hankook,Ventus V12 evo 2 K120,245.0,40.0,17.0,Y,95.0,11940.0,6.0,3.0
3954,Dunlop,Grantrek MT1,31.0,10.5,15.0,N,109.0,15900.0,14.0,1.0
3955,Hankook,Dynapro AT-M RF10,235.0,60.0,18.0,T,102.0,18940.0,6.0,5.0
3956,Hankook,Dynapro AT-M RF10,235.0,75.0,15.0,T,109.0,14790.0,6.0,5.0
3957,Hankook,Dynapro AT-M RF10,225.0,70.0,15.0,T,100.0,13430.0,6.0,5.0
3958,Hankook,Dynapro AT-M RF10,215.0,80.0,15.0,S,102.0,15650.0,6.0,7.0
3959,Hankook,Dynapro AT-M RF10,245.0,75.0,16.0,S,120.0,16990.0,6.0,7.0
3960,Bridgestone,Dueler AT 001,245.0,70.0,17.0,S,110.0,14800.0,16.0,7.0
3961,Bridgestone,TURANZA T005 DRIVEGUARD Run Flat,225.0,45.0,18.0,Y,95.0,18210.0,16.0,3.0
3962,Bridgestone,TURANZA T005 DRIVEGUARD Run Flat,245.0,40.0,18.0,Y,97.0,23170.0,16.0,3.0
3963,Bridgestone,TURANZA T005,235.0,35.0,19.0,Y,91.0,21060.0,16.0,3.0
3964,Goodyear,Eagle F1 Asymmetric 6,215.0,45.0,17.0,Y,91.0,10820.0,10.0,3.0
3965,Matador,MP47 Hectorra 3,185.0,70.0,14.0,T,88.0,4320.0,5.0,5.0
3966,Nankang,N605,205.0,70.0,15.0,H,95.0,5990.0,33.0,0.0
3967,Nankang,SP7,275.0,55.0,19.0,V,111.0,13320.0,33.0,2.0
3968,Nankang,AS2+,255.0,40.0,20.0,Y,101.0,12730.0,33.0,3.0
3969,Nankang,NS20,245.0,40.0,20.0,Y,95.0,11050.0,33.0,3.0
3970,Nankang,SP9,275.0,50.0,20.0,W,113.0,15100.0,33.0,6.0
3971,Nankang,SP9,255.0,50.0,20.0,Y,109.0,13410.0,33.0,3.0
3972,Nankang,SP9,235.0,55.0,19.0,W,105.0,9330.0,33.0,6.0
3973,Nankang,SP9,215.0,65.0,17.0,V,99.0,8560.0,33.0,2.0
3974,Nankang,FT4,225.0,60.0,18.0,H,100.0,8250.0,33.0,0.0
3975,Кама,TRACE (HK-135),205.0,70.0,15.0,R,106.0,6390.0,13.0,8.0
3976,Кама,TRACE (HK-135),235.0,65.0,16.0,R,121.0,7920.0,13.0,8.0
3977,Cordiant,Business CS-2,185.0,75.0,16.0,R,104.0,5570.0,0.0,8.0
3978,Pirelli,P7 Cinturato,205.0,55.0,17.0,V,91.0,12380.0,29.0,2.0
3979,Falken,Azenis FK510,225.0,40.0,19.0,Y,93.0,24170.0,27.0,3.0
3980,Falken,Azenis FK510,225.0,45.0,19.0,Y,96.0,18150.0,27.0,3.0
3981,Falken,Azenis FK510 SUV,225.0,50.0,18.0,W,99.0,15660.0,27.0,6.0
3982,Falken,Azenis FK510,245.0,45.0,17.0,Y,99.0,12670.0,27.0,3.0
3983,Falken,Azenis FK510,255.0,35.0,19.0,Y,96.0,26520.0,27.0,3.0
3984,Falken,Azenis FK510,255.0,40.0,18.0,Y,99.0,18200.0,27.0,3.0
3985,Falken,Azenis FK510,255.0,40.0,19.0,Y,100.0,21310.0,27.0,3.0
3986,Falken,Azenis FK510,255.0,45.0,19.0,Y,104.0,20920.0,27.0,3.0
3987,Falken,Azenis FK510 SUV,265.0,40.0,21.0,Y,105.0,27090.0,27.0,3.0
3988,Falken,Azenis FK510,275.0,40.0,19.0,Y,105.0,22040.0,27.0,3.0
3989,Falken,Azenis FK510 SUV,275.0,40.0,21.0,Y,107.0,29810.0,27.0,3.0
3990,Falken,Azenis FK510 SUV,275.0,40.0,22.0,Y,107.0,30720.0,27.0,3.0
3991,Falken,Azenis FK510,285.0,35.0,20.0,Y,104.0,28100.0,27.0,3.0
3992,Falken,Azenis FK510 SUV,295.0,40.0,20.0,Y,110.0,24590.0,27.0,3.0
3993,Pirelli,P-Zero SUV,315.0,40.0,21.0,Y,111.0,46730.0,29.0,3.0
3994,Cordiant,Business CS-2,195.0,70.0,15.0,S,104.0,5700.0,0.0,7.0
3995,Evergreen,ES89,235.0,75.0,15.0,R,104.0,7180.0,18.0,8.0
3996,Continental,Conti Cross Contact LX2,225.0,65.0,17.0,H,102.0,11510.0,8.0,0.0
3997,Continental,Conti Eco Contact 6,175.0,65.0,15.0,H,84.0,5610.0,8.0,0.0
3998,Bridgestone,Alenza H/L33,225.0,60.0,18.0,H,100.0,16210.0,16.0,0.0
3999,Cordiant,Off Road 2,235.0,75.0,15.0,Q,109.0,9400.0,0.0,9.0
4000,Pirelli,P-Zero Sports CAR Run Flat,245.0,45.0,20.0,W,103.0,41740.0,29.0,6.0
4001,Pirelli,Cinturato All Season SF 2,245.0,35.0,19.0,Y,93.0,27100.0,29.0,3.0
4002,Pirelli,Cinturato All Season SF 2,235.0,35.0,19.0,Y,91.0,18540.0,29.0,3.0
4003,Pirelli,Powergy,255.0,45.0,19.0,Y,104.0,18830.0,29.0,3.0
4004,Pirelli,Cinturato All Season SF 2,235.0,45.0,19.0,Y,99.0,31310.0,29.0,3.0
4005,Pirelli,Scorpion,235.0,50.0,19.0,V,99.0,17960.0,29.0,2.0
4006,Pirelli,Powergy,255.0,35.0,18.0,Y,94.0,13870.0,29.0,3.0
4007,Pirelli,Cinturato All Season SF 2,255.0,35.0,18.0,Y,94.0,21850.0,29.0,3.0
4008,Pirelli,New Cinturato P7,225.0,40.0,18.0,W,92.0,13140.0,29.0,6.0
4009,Pirelli,Cinturato All Season SF 2,225.0,40.0,18.0,Y,92.0,12280.0,29.0,3.0
4010,Pirelli,New Cinturato P7,245.0,45.0,18.0,Y,100.0,19010.0,29.0,3.0
